code	erfolg_stolz	Niedergeschlagenheit	Zuneigung	Enttäuschung	froh_freudig	Peinlichkeit	Wut	Erwartung	unangenehm vs. angenehm	entspannt vs. angespannt	condition	order	vpn_num
1002	4.0	5	6	4	4.0	1	6	6	7	4	baseline	1	02
1004	7.0	1	7	1	5.0	1	1	8	8	8	baseline	1	04
1006	4.0	1	5	1	6.0	3	1	6	-	-	baseline	1	06
1008	5.0	6	1	1	5.0	1	1	5	5	9	baseline	1	08
1010	5.0	3	3	2	5.0	2	1	6	5	6	baseline	1	10
1011	7.0	1	5	1	4.0	1	1	7	7	5	baseline	1	11
1013	6.0	3	8	1	7.0	2	1	5	7	7	baseline	1	13
1015	5.0	2	7	3	5.0	1	1	7	5	6	baseline	1	15
1017	6.0	1	3	1	6.0	2	1	7	7	4	baseline	1	17
1019	6.0	2	5	5	6.0	2	1	7	6	8	baseline	1	19
1021	7.0	5	8	7	7.0	3	4	7	7	4	baseline	1	21
1023	7.0	2	6	3	7.0	2	3	6	7	6	baseline	1	23
1027	3.0	2	4	2	5.0	2	1	6	6	2	baseline	1	27
1029	6.5	2	6	6	6.0	2	1	6	7	5	baseline	1	29
1031	5.5	2	1	4	5.0	4	1	6	6	3	baseline	1	31
1033	3.0	5	3	4	8.0	6	3	3	7	3	baseline	1	33
1037	7.5	2	3	1	7.5	1	1	7	7	8	baseline	1	37
1038	7.5	2	8	4	8.0	3	4	8	8	8	baseline	1	38
1039	4.5	1	4	1	6.0	1	1	5	7	2	baseline	1	39
2002	4.0	4	5	4	5.0	6	5	5	5	5	negative	1	02
2004	5.0	1	6	1	6.0	1	1	6	7	9	negative	1	04
2006	5.0	1	6	2	6.0	3	1	5	6	4	negative	1	06
2008	5.0	3	1	1	5.0	1	1	5	5	6	negative	1	08
2010	5.0	3	3	5	4.0	2	1	5	6	8	negative	1	10
2011	6.0	1	6	2	2.0	1	1	5	5	6	negative	1	11
2013	7.0	1	7	1	8.0	1	1	6	7	7	negative	1	13
2015	5.0	2	7	1	6.0	1	1	6	6	6	negative	1	15
2017	6.0	1	2	1	6.0	2	1	6	6	6	negative	1	17
2019	5.0	2	6	3	5.0	1	1	6	7	7	negative	1	19
2021	7.0	7	8	5	3.0	1	3	8	4	8	negative	1	21
2023	6.0	6	6	3	5.0	3	4	7	6	4	negative	1	23
2027	3.0	3	3	3	5.0	1	2	8	6	2	negative	1	27
2029	6.0	2	5	4	5.0	2	1	6	7	2	negative	1	29
2031	5.0	2	1	6	5.0	7	2	5	7	2	negative	1	31
2033	2.5	3	3	4	5.0	7	2	2	3	7	negative	1	33
2037	4.5	1	1	7	4.5	2	3	9	8	8	negative	1	37
2038	8.0	3	8	3	5.5	3	3	8	8	8	negative	1	38
2039	5.0	1	3	1	6.0	1	1	5	7	6	negative	1	39
3002	6.0	5	4	4	5.0	6	4	6	5	6	positive	1	02
3004	7.0	1	7	1	5.0	1	1	7	7	8	positive	1	04
3006	4.0	1	5	2	7.0	3	1	6	7	4	positive	1	06
3008	5.0	4	1	1	5.0	1	1	5	5	5	positive	1	08
3010	5.0	4	3	3	4.0	4	1	6	5	7	positive	1	10
3011	5.0	1	6	2	4.0	1	1	6	6	6	positive	1	11
3013	8.0	1	7	2	8.0	1	1	7	8	7	positive	1	13
3015	6.0	2	7	1	6.0	1	1	6	6	6	positive	1	15
3017	6.0	1	4	2	6.0	4	1	7	7	5	positive	1	17
3019	5.0	2	7	3	6.0	1	1	7	6	8	positive	1	19
3021	8.0	3	8	5	3.0	3	2	6	4	7	positive	1	21
3023	6.0	3	7	4	5.0	3	3	6	7	7	positive	1	23
3027	3.0	1	4	2	5.0	1	1	7	6	2	positive	1	27
3029	7.0	2	7	4	6.0	2	1	6	7	4	positive	1	29
3031	6.0	2	1	7	5.0	7	1	6	7	4	positive	1	31
3033	2.0	3	3	4	5.0	6	1	2	7	7	positive	1	33
3037	6.5	1	3	6	7.0	1	2	7	7	8	positive	1	37
3038	8.0	3	8	3	8.0	3	3	8	8	8	positive	1	38
3039	4.0	1	3	2	5.5	1	1	4	7	6	positive	1	39
