code	erfolg_stolz	Niedergeschlagenheit	Zuneigung	Enttäuschung	froh_freudig	Peinlichkeit	Wut	Erwartung	unangenehm vs. angenehm	entspannt vs. angespannt	condition	order	vpn_num
1003	7.0	2	6	1	6.0	1	2	7	8	7	baseline	2	03
1005	1.0	1	2	1	5.0	1	1	5	5	8	baseline	2	05
1007	7.0	2	8	2	7.0	1	1	6	7	4	baseline	2	07
1009	4.0	1	3	1	6.0	1	1	5	8	7	baseline	2	09
1012	6.0	2	6	2	7.0	2	3	5	7	6	baseline	2	12
1014	6.0	1	6	1	6.0	1	1	7	6	7	baseline	2	14
1016	5.0	1	4	1	5.0	1	1	7	8	8	baseline	2	16
1018	7.0	2	5	1	6.0	1	1	8	6	8	baseline	2	18
1020	3.0	1	3	1	6.0	2	1	5	6	6	baseline	2	20
1022	3.0	1	1	1	6.0	2	1	7	7	8	baseline	2	22
1024	3.0	3	4	1	6.0	3	1	7	7	3	baseline	2	24
1028	5.0	6	5	2	7.0	1	1	7	6	7	baseline	2	28
1030	4.0	2	2	2	6.0	2	1	6	5	4	baseline	2	30
1032	3.0	1	4	1	5.0	1	1	5	7	2	baseline	2	32
1034	7.0	1	7	2	7.0	1	1	4	7	3	baseline	2	34
1035	5.0	2	5	3	7.0	2	2	7	7	6	baseline	2	35
1036	6.5	1	1	1	5.5	1	1	9	9	1	baseline	2	36
2003	5.0	4	5	6	5.0	1	1	5	6	7	negative	2	03
2005	1.0	1	2	1	1.0	1	1	5	7	8	negative	2	05
2007	7.0	2	8	2	7.0	1	1	7	7	4	negative	2	07
2009	5.0	1	4	4	5.0	1	1	5	7	9	negative	2	09
2012	6.0	2	7	2	7.0	2	2	7	7	7	negative	2	12
2014	5.0	3	5	2	6.0	2	5	7	6	8	negative	2	14
2016	5.0	1	3	2	3.0	1	1	6	6	6	negative	2	16
2018	5.0	2	5	2	5.0	1	1	8	5	7	negative	2	18
2020	4.0	3	3	4	5.0	4	1	4	6	6	negative	2	20
2022	5.0	4	1	6	6.0	7	3	6	5	4	negative	2	22
2024	3.0	2	4	1	7.0	2	1	6	7	5	negative	2	24
2028	8.0	3	6	1	7.0	1	1	8	9	4	negative	2	28
2030	5.0	2	2	1	6.0	4	1	6	5	5	negative	2	30
2032	4.0	2	6	2	7.0	1	1	3	7	2	negative	2	32
2034	6.0	2	7	2	7.0	1	1	5	7	7	negative	2	34
2035	4.5	2	5	3	7.0	2	2	8	4	6	negative	2	35
2036	8.0	1	6	1	7.5	1	1	9	9	1	negative	2	36
3003	7.0	2	8	2	7.0	1	1	7	8	8	positive	2	03
3005	1.0	1	2	1	5.0	1	1	4	5	8	positive	2	05
3007	7.0	7	7	3	6.0	1	1	7	6	6	positive	2	07
3009	5.0	1	4	1	7.0	1	1	5	8	9	positive	2	09
3012	6.0	2	6	3	8.0	2	2	6	7	7	positive	2	12
3014	7.0	1	7	1	7.0	1	1	6	7	8	positive	2	14
3016	5.0	1	3	1	3.0	1	1	6	6	7	positive	2	16
3018	6.0	1	4	1	6.0	1	1	9	5	7	positive	2	18
3020	4.0	2	3	4	5.0	4	1	4	6	6	positive	2	20
3022	5.0	2	1	4	6.0	6	3	7	7	6	positive	2	22
3024	3.0	2	4	1	6.0	3	1	6	5	3	positive	2	24
3028	8.0	2	7	2	7.0	1	1	8	9	4	positive	2	28
3030	5.5	2	2	2	6.0	3	1	7	3	5	positive	2	30
3032	3.0	1	4	3	6.0	1	1	3	7	2	positive	2	32
3034	6.5	1	7	1	7.0	1	1	6	7	3	positive	2	34
3035	4.5	2	6	3	7.0	2	1	6	5	7	positive	2	35
3036	8.0	1	6	1	8.0	1	1	9	8	1	positive	2	36
