Erfolg	Stolz	Wärme	Zuneigung	Frustration	Enttäuschung	Ärger	Wut	Trauer	Niedergeschlagenheit	Fröhlichkeit	Freude	Peinlichkeit	gleichgueltig vs. interesse	gelangweilt vs. motiviert	unangenehm vs. angenehm	negativ vs. positiv	entspannt vs. angespannt	ruhig vs. nervoes	Erwartung	condition	code
7	6	6	6	4	6	1	1	1	2	6	6	2	8	7	7	7	5	4	6	baseline	1029
5	3	6	2	5	2	1	1	1	2	6	6	2	7	6	5	6	4	5	6	baseline	1030
7	4	3	1	6	4	1	1	1	2	5	5	4	7	7	6	6	3	2	6	baseline	1031
3	3	4	4	1	1	1	1	1	1	5	5	1	7	7	7	7	2	2	5	baseline	1032
3	3	3	3	5	4	8	3	3	5	8	8	6	8	7	7	8	3	5	3	baseline	1033
7	7	4	7	4	2	1	1	1	1	7	7	1	8	8	7	7	3	7	4	baseline	1034
7	3	5	5	3	3	2	2	2	2	7	7	2	8	8	7	8	6	6	7	baseline	1035
7	6	5	1	1	1	1	1	1	1	5	6	1	8	9	9	9	1	1	9	baseline	1036
7	8	1	3	6	1	2	1	5	2	7	8	1	9	9	7	8	8	7	7	baseline	1037
7	8	7	8	4	4	3	4	3	2	8	8	3	8	8	8	8	8	8	8	baseline	1038
5	4	4	4	1	1	1	1	1	1	6	6	1	7	8	7	7	2	5	5	baseline	1039
6	6	6	5	1	4	2	1	1	2	5	5	2	5	5	7	7	2	6	6	negative	2029
5	5	4	2	2	1	2	1	1	2	6	6	4	7	6	5	5	5	6	6	negative	2030
5	5	2	1	5	6	5	2	1	2	5	5	7	8	7	7	7	2	2	5	negative	2031
4	4	6	6	2	2	2	1	1	2	7	7	1	7	8	7	7	2	2	3	negative	2032
3	2	2	3	5	4	3	2	3	3	5	5	7	7	7	3	7	7	6	2	negative	2033
6	6	4	7	4	2	1	1	1	2	7	7	1	8	8	7	8	7	7	5	negative	2034
6	3	5	5	4	3	2	2	2	2	7	7	2	8	8	4	7	6	6	8	negative	2035
9	7	7	6	1	1	1	1	1	1	7	8	1	9	8	9	9	1	1	9	negative	2036
6	3	1	1	3	7	6	3	1	1	5	4	2	5	7	8	8	8	7	9	negative	2037
8	8	8	8	3	3	3	3	3	3	3	8	3	8	8	8	8	8	3	8	negative	2038
6	4	4	3	1	1	1	1	1	1	6	6	1	8	8	7	7	6	7	5	negative	2039
7	7	6	7	5	4	1	1	1	2	6	6	2	8	6	7	7	4	6	6	positive	3029
7	4	3	2	2	2	2	1	1	2	6	6	3	7	7	3	4	5	4	7	positive	3030
6	6	3	1	8	7	3	1	1	2	5	5	7	7	7	7	7	4	6	6	positive	3031
3	3	4	4	3	3	1	1	1	1	6	6	1	7	7	7	7	2	2	3	positive	3032
2	2	3	3	4	4	5	1	3	3	5	5	6	8	8	7	8	7	7	2	positive	3033
6	7	4	7	1	1	1	1	1	1	7	7	1	8	8	7	8	3	7	6	positive	3034
7	2	5	6	4	3	2	1	2	2	7	7	2	7	7	5	4	7	5	6	positive	3035
9	7	8	6	1	1	1	1	1	1	8	8	1	9	9	8	9	1	1	9	positive	3036
7	6	1	3	6	6	5	2	1	1	7	7	1	8	8	7	8	8	7	7	positive	3037
8	8	8	8	3	3	3	3	3	3	8	8	3	8	8	8	8	8	3	8	positive	3038
4	4	4	3	2	2	2	1	1	1	5	6	1	7	7	7	7	6	6	4	positive	3039
