Code	Wie stark sind die Gefühle Erfolg und Stolz vorhanden?	Wie stark fühlen Sie sich niedergeschlagen, bedrückt, betrübt und traurig?	Wie stark sind die Gefühle Wärme und Zuneigung vorhanden?	Wie stark sind die Gefühle Frustration und Enttäuschung vorhanden?	Wie stark fühlen Sie sich fröhlich, freudig, vergnügt und entzückt?	Wie stark fühlen Sie sich peinlich berührt?	Wie stark sind die Gefühle Ärger und Wut vorhanden?	Bitte schätzen Sie ein, wie Sie im nächsten Durchlauf der Aufgabe abschneiden werden?	Bitte ordnen Sie ein, welche Gefühle am ehesten vorhanden sind.Lustlos/neugierig	Bitte ordnen Sie ein, welche Gefühle am ehesten vorhanden sind. Unangenehm/angenehm	Bitte ordnen Sie ein, welche Gefühle am ehesten vorhanden sind. Entspannt/ angespannt --> umkodiert	Bedinung
1002	4	5	6	4	4	1	6	6	7	7	4	solo
2002	4	4	5	4	5	6	5	5	4	5	5	neg
3002	6	5	4	4	5	6	4	6	6	5	6	pos
1003	7	2	6	1	6	1	2	7	7	8	7	solo
2003	5	4	5	6	5	1	1	5	5	6	7	neg
3003	7	2	8	2	7	1	1	7	7	8	8	pos
1004	7	1	7	1	5	1	1	8	8	8	8	solo
2004	5	1	6	1	6	1	1	6	7	7	9	neg
3004	7	1	7	1	5	1	1	7	7	7	8	pos
1005	1	1	2	1	5	1	1	5	5	5	8	solo
2005	1	1	2	1	1	1	1	5	5	7	8	neg
3005	1	1	2	1	5	1	1	4	5	5	8	pos
1006	4	1	5	1	6	3	1	6	-	-	-	solo
2006	5	1	6	2	6	3	1	5	7	6	4	neg
3006	4	1	5	2	7	3	1	6	6	7	4	pos
1007	7	2	8	2	7	1	1	6	7	7	4	solo
2007	7	2	8	2	7	1	1	7	6	7	4	neg
3007	7	7	7	3	6	1	1	7	6	6	6	pos
1008	5	6	1	1	5	1	1	5	4	5	9	solo
2008	5	3	1	1	5	1	1	5	3	5	6	neg
3008	5	4	1	1	5	1	1	5	4	5	5	pos
1009	4	1	3	1	6	1	1	5	8	8	7	solo
2009	5	1	4	4	5	1	1	5	7	7	9	neg
3009	5	1	4	1	7	1	1	5	6	8	9	pos
1010	5	3	3	2	5	2	1	6	4	5	6	solo
2010	5	3	3	5	4	2	1	5	5	6	8	neg
3010	5	4	3	3	4	4	1	6	5	5	7	pos
1011	7	1	5	1	4	1	1	7	6	7	5	solo
2011	6	1	6	2	2	1	1	5	4	5	6	neg
3011	5	1	6	2	4	1	1	6	5	6	6	pos
1012	6	2	6	2	7	2	3	5	7	7	6	solo
2012	6	2	7	2	7	2	2	7	8	7	7	neg
3012	6	2	6	3	8	2	2	6	7	7	7	pos
1013	6	3	8	1	7	2	1	5	8	7	7	solo
2013	7	1	7	1	8	1	1	6	7	7	7	neg
3013	8	1	7	2	8	1	1	7	7	8	7	pos
1014	6	1	6	1	6	1	1	7	7	6	7	solo
2014	5	3	5	2	6	2	5	7	7	6	8	neg
3014	7	1	7	1	7	1	1	6	7	7	8	pos
1015	5	2	7	3	5	1	1	7	6	5	6	solo
2015	5	2	7	1	6	1	1	6	6	6	6	neg
3015	6	2	7	1	6	1	1	6	7	6	6	pos
1016	5	1	4	1	5	1	1	7	7	8	8	solo
2016	5	1	3	2	3	1	1	6	6	6	6	neg
3016	5	1	3	1	3	1	1	6	6	6	7	pos
1017	6	1	3	1	6	2	1	7	6	7	4	solo
2017	6	1	2	1	6	2	1	6	5	6	6	neg
3017	6	1	4	2	6	4	1	7	5	7	5	pos
1018	7	2	5	1	6	1	1	8	5	6	8	solo
2018	5	2	5	2	5	1	1	8	3	5	7	neg
3018	6	1	4	1	6	1	1	9	3	5	7	pos
1019	6	2	5	5	6	2	1	7	7	6	8	solo
2019	5	2	6	3	5	1	1	6	6	7	7	neg
3019	5	2	7	3	6	1	1	7	5	6	8	pos
1020	3	1	3	1	6	2	1	5	6	6	6	solo
2020	4	3	3	4	5	4	1	4	6	6	6	neg
3020	4	2	3	4	5	4	1	4	5	6	6	pos
1021	7	5	8	7	7	3	4	7	8	7	4	solo
2021	7	7	8	5	3	1	3	8	4	4	8	neg
3021	8	3	8	5	3	3	2	6	6	4	7	pos
1022	3	1	1	1	6	2	1	7	6	7	8	solo
2022	5	4	1	6	6	7	3	6	6	5	4	neg
3022	5	2	1	4	6	6	3	7	7	7	6	pos
1023	7	2	6	3	7	2	3	6	9	7	6	solo
2023	6	6	6	3	5	3	4	7	8	6	4	neg
3023	6	3	7	4	5	3	3	6	8	7	7	pos
1024	3	3	4	1	6	3	1	7	6	7	3	solo
2024	3	2	4	1	7	2	1	6	6	7	5	neg
3024	3	2	4	1	6	3	1	6	5	5	3	pos
1025	6	2	6	3	7	3	1	7	7	6	2	solo
2025	6	2	7	3	6	5	2	6	6	7	2	neg
3025	7	2	7	3	6	4	3	6	6	7	3	pos
1026	5	2	3	1	7	3	1	7	7	7	4	solo
2026	4	2	4	1	7	3	1	8	6	6	4	neg
3026	4	2	4	4	5	1	2	5	3	6	3	pos
1027	3	2	4	2	5	2	1	6	5	6	2	solo
2027	3	3	3	3	5	1	2	8	5	6	2	neg
3027	3	1	4	2	5	1	1	7	5	6	2	pos
1028	5	6	5	2	7	1	1	7	7	6	7	solo
2028	8	3	6	1	7	1	1	8	8	9	4	neg
3028	8	2	7	2	7	1	1	8	8	9	4	pos
